ID,GROUP_ID,DISPLAY_NAME,SLUG,ABBREVIATION,SHORT_NAME,TEAM_NAME,WINS,LOSSES,STANDING,STREAK,GB
356,7,Illinois Fighting Illini,illinois_fighting_illini,ILL,Illinois,Fighting Illini,19.0,6.0,2.0,2.0,3.5
2509,7,Purdue Boilermakers,purdue_boilermakers,PUR,Purdue,Boilermakers,23.0,3.0,1.0,-1.0,0.0
13,9,Cal Poly Mustangs,cal_poly_mustangs,CP,Cal Poly,Mustangs,4.0,22.0,11.0,-14.0,15.0
2239,9,Cal State Fullerton Titans,cal_state_fullerton_titans,CSUF,Fullerton,Titans,11.0,15.0,10.0,-5.0,8.0
2934,9,Cal State Bakersfield Roadrunners,cal_state_bakersfield_roadrunners,CSUB,Bakersfield,Roadrunners,10.0,16.0,9.0,-2.0,9.0
2540,9,UC Santa Barbara Gauchos,uc_santa_barbara_gauchos,UCSB,Santa Barbara,Gauchos,14.0,11.0,6.0,1.0,4.5
62,9,Hawai'i Rainbow Warriors,hawai'i_rainbow_warriors,HAW,Hawai'i,Rainbow Warriors,15.0,12.0,7.0,-1.0,4.5
27,9,UC Riverside Highlanders,uc_riverside_highlanders,UCR,UC Riverside,Highlanders,12.0,15.0,8.0,4.0,7.5
2463,9,Cal State Northridge Matadors,cal_state_northridge_matadors,CSUN,CSU Northridge,Matadors,17.0,10.0,5.0,-1.0,2.5
299,9,Long Beach State Beach,long_beach_state_beach,LBSU,Long Beach St,Beach,17.0,9.0,4.0,4.0,2.0
302,9,UC Davis Aggies,uc_davis_aggies,UCD,UC Davis,Aggies,15.0,11.0,3.0,-3.0,4.0
28,9,UC San Diego Tritons,uc_san_diego_tritons,UCSD,UC San Diego,Tritons,17.0,9.0,2.0,2.0,2.0
300,9,UC Irvine Anteaters,uc_irvine_anteaters,UCI,UC Irvine,Anteaters,19.0,7.0,1.0,1.0,0.0
2261,10,Hampton Pirates,hampton_pirates,HAMP,Hampton,Pirates,6.0,21.0,14.0,1.0,13.5
2729,10,William & Mary Tribe,william_&_mary_tribe,W&M,William & Mary,Tribe,8.0,18.0,13.0,-5.0,11.0
2210,10,Elon Phoenix,elon_phoenix,ELON,Elon,Phoenix,12.0,15.0,10.0,2.0,7.5
111,10,Northeastern Huskies,northeastern_huskies,NE,Northeastern,Huskies,10.0,17.0,11.0,-2.0,9.5
2448,10,North Carolina A&T Aggies,north_carolina_a&t_aggies,NCAT,NC A&T,Aggies,7.0,20.0,12.0,-5.0,12.5
2097,10,Campbell Fighting Camels,campbell_fighting_camels,CAM,Campbell,Fighting Camels,12.0,15.0,9.0,-2.0,7.5
2619,10,Stony Brook Seawolves,stony_brook_seawolves,STBK,Stony Brook,Seawolves,14.0,13.0,8.0,-1.0,5.5
2405,10,Monmouth Hawks,monmouth_hawks,MONM,Monmouth,Hawks,15.0,12.0,7.0,2.0,4.5
48,10,Delaware Blue Hens,delaware_blue_hens,DEL,Delaware,Blue Hens,17.0,10.0,5.0,1.0,2.5
2275,10,Hofstra Pride,hofstra_pride,HOF,Hofstra,Pride,16.0,11.0,4.0,1.0,3.5
119,10,Towson Tigers,towson_tigers,TOW,Towson,Tigers,16.0,11.0,6.0,-1.0,3.5
350,10,UNC Wilmington Seahawks,unc_wilmington_seahawks,UNCW,UNC Wilmington,Seahawks,19.0,7.0,2.0,-1.0,0.0
2182,10,Drexel Dragons,drexel_dragons,DREX,Drexel,Dragons,17.0,10.0,3.0,2.0,2.5
232,10,Charleston Cougars,charleston_cougars,COFC,Charleston,Cougars,19.0,7.0,1.0,4.0,0.0
2229,11,Florida International Panthers,florida_international_panthers,FIU,FIU,Panthers,8.0,18.0,9.0,-3.0,11.0
2638,11,UTEP Miners,utep_miners,UTEP,UTEP,Miners,13.0,13.0,7.0,-2.0,6.0
