ID,NAME,GP,W,L,PTS,AST,REB,OREB,DREB,FG%,FGM,FGA,2P%,2PM,2PA,3P%,3PM,3PA,FT%,FTM,FTA,BLK,STL,TO,AST/TO,PF,SC-EFF,SH-EFF
259,Virginia Tech Hokies,22.0,13,9,74.318184,15.454545,32.727272,7.7272725,25.0,46.63900434970856,14.772727,18.681818,54.41389083862305,376.0,691.0,36.18676960468292,8.454545,23.363636,79.07542586326599,14.772727,18.681818,2.7272727,5.409091,11.863636,1.302682,15.909091,1.3568465,0.5435685
2390,Miami Hurricanes,23.0,15,8,78.95652,14.608696,37.434784,9.73913,27.695652,47.413793206214905,12.782609,16.652174,54.07319664955139,458.0,847.0,37.0642215013504,8.782609,23.695652,76.7624020576477,12.782609,16.652174,3.347826,7.304348,12.478261,1.1707317,12.73913,1.3045977,0.5466954
152,NC State Wolfpack,22.0,15,7,75.72727,13.272727,36.136364,10.727273,25.40909,43.677327036857605,13.909091,19.0,49.38684403896332,443.0,897.0,32.98538625240326,7.181818,21.772728,73.20573925971985,13.909091,19.0,3.1363637,8.136364,9.636364,1.3773584,17.772728,1.2107558,0.49418604
154,Wake Forest Demon Deacons,21.0,15,7,80.71429,12.333333,34.904762,8.619047,26.285715,47.86462485790253,15.380953,19.380953,53.59477400779724,410.0,765.0,38.655462861061096,8.761905,22.666666,79.36117649078369,15.380953,19.380953,4.428571,5.8095236,11.476191,1.0746888,15.809524,1.365834,0.55278003
52,Florida State Seminoles,21.0,13,9,77.28571,12.619047,35.095238,10.666667,24.428572,44.56437826156616,15.857142,23.095238,50.1694917678833,444.0,885.0,32.52427279949188,6.3809524,19.619047,68.65979433059692,15.857142,23.095238,4.047619,9.333333,12.333333,1.0231661,20.761906,1.2513492,0.49730146
150,Duke Blue Devils,21.0,16,5,81.14286,15.619047,35.809525,9.476191,26.333334,48.35605323314667,15.523809,21.095238,54.145729541778564,431.0,796.0,38.1374716758728,8.190476,21.47619,73.58916401863098,15.523809,21.095238,3.9047618,6.6190476,9.476191,1.6482412,16.0,1.3664795,0.55252606
258,Virginia Cavaliers,23.0,18,5,65.13043,15.826087,32.913044,8.826087,24.086956,44.6540892124176,9.086957,14.0,48.14385175704956,415.0,862.0,37.317073345184326,6.652174,17.826086,64.9068295955658,9.086957,14.0,5.0434785,8.086957,8.391304,1.8860104,13.434783,1.177673,0.5066824
153,North Carolina Tar Heels,22.0,18,5,83.09091,14.227273,41.272728,12.318182,28.954546,45.336225628852844,18.40909,24.454546,50.60773491859436,458.0,905.0,35.35564839839935,7.681818,21.727272,75.27881264686584,18.40909,24.454546,4.3636365,6.090909,10.454545,1.3608695,16.545454,1.3217642,0.51446134
197,Oklahoma State Cowboys,22.0,10,13,71.13636,14.454545,34.909092,9.5,25.40909,43.92971098423004,12.136364,17.954546,51.386862993240356,352.0,685.0,34.92063581943512,9.0,25.772728,67.59493947029114,12.136364,17.954546,2.8636363,6.2727275,13.227273,1.0927835,15.545455,1.25,0.5183706
277,West Virginia Mountaineers,22.0,8,14,68.5,12.727273,34.545456,9.363636,25.181818,41.552141308784485,14.818182,20.59091,46.640828251838684,361.0,774.0,33.04535746574402,6.9545455,21.045454,71.96468114852905,14.818182,20.59091,3.6363637,4.5454545,11.863636,1.072797,14.727273,1.2182701,0.4773646
251,Texas Longhorns,22.0,15,8,76.59091,15.772727,35.136364,10.318182,24.818182,48.127925395965576,12.954545,17.545454,53.56294512748718,451.0,842.0,37.727272510528564,7.5454545,20.0,73.83419871330261,12.954545,17.545454,4.7272725,7.0,12.136364,1.2996255,16.681818,1.3143526,0.5460218
252,BYU Cougars,21.0,16,6,84.42857,20.142857,41.142857,12.333333,28.809525,47.94420003890991,10.095238,13.809524,60.12084484100342,398.0,662.0,36.42857074737549,12.142858,33.333332,73.10344576835632,10.095238,13.809524,2.952381,6.3333335,11.047619,1.8232758,17.0,1.3017621,0.5730543
2132,Cincinnati Bearcats,22.0,15,7,76.954544,15.636364,41.363636,14.318182,27.045454,44.68236863613129,12.772727,18.636364,50.98468065261841,466.0,914.0,32.85420835018158,7.2727275,22.136364,68.53658556938171,12.772727,18.636364,4.409091,6.2727275,11.636364,1.34375,14.863636,1.2084225,0.50392574
2116,UCF Knights,21.0,13,8,71.85714,12.190476,38.714287,12.714286,26.0,41.552141308784485,15.666667,22.095238,46.952009201049805,362.0,771.0,32.618024945259094,7.2380953,22.190475,70.90517282485962,15.666667,22.095238,5.5238094,9.0,13.095238,0.9309091,17.190475,1.2198868,0.4769604
201,Oklahoma Sooners,22.0,17,6,77.59091,14.090909,37.136364,10.636364,26.5,47.3270446062088,15.590909,20.954546,55.04358410835266,442.0,803.0,34.11513864994049,7.2727275,21.318182,74.40347075462341,15.590909,20.954546,3.2272727,6.7272725,12.681818,1.1111112,16.0,1.3419812,0.5361635
2306,Kansas State Wildcats,23.0,15,8,72.17391,14.391304,37.565216,11.913043,25.652174,43.22482943534851,14.956522,20.652174,51.96335315704346,397.0,764.0,31.238779425621033,7.5652175,24.217392,72.42105007171631,14.956522,20.652174,4.4347825,6.695652,14.956522,0.9622093,17.043478,1.2566237,0.4981075
2628,TCU Horned Frogs,22.0,16,6,82.86364,18.0,37.863636,12.318182,25.545454,48.75183701515198,15.909091,21.954546,54.06249761581421,519.0,960.0,36.06965243816376,6.590909,18.272728,72.46376872062683,15.909091,21.954546,3.8636363,9.272727,13.0,1.3846154,17.363636,1.3384728,0.5407489
2641,Texas Tech Red Raiders,21.0,16,5,76.95238,15.142858,34.857143,10.095238,24.761906,46.30705416202545,15.047619,19.380953,52.3809552192688,374.0,714.0,37.47454285621643,8.761905,23.380953,77.64127850532532,15.047619,19.380953,3.047619,6.047619,10.619047,1.4260089,13.761905,1.3410789,0.5394191
2305,Kansas Jayhawks,23.0,18,5,78.73913,20.695652,36.913044,8.26087,28.652174,50.97451210021973,13.347826,18.130434,57.44909048080444,536.0,933.0,35.91022491455078,6.2608695,17.434782,73.62110018730164,13.347826,18.130434,4.0,7.3913045,11.913043,1.7372262,14.695652,1.3575712,0.56371814
239,Baylor Bears,21.0,16,5,83.95238,15.857142,35.809525,12.238095,23.571428,49.162012338638306,16.333334,22.52381,54.04040217399597,428.0,792.0,40.78091084957123,8.952381,21.952381,72.51585721969604,16.333334,22.52381,3.6190476,6.714286,11.904762,1.332,16.761906,1.4070232,0.5666401
66,Iowa State Cyclones,21.0,17,5,79.85714,17.095238,35.333332,11.523809,23.809525,47.906601428985596,16.47619,24.047619,53.72781157493591,454.0,845.0,35.516372323036194,6.714286,18.904762,68.5148537158966,16.47619,24.047619,3.047619,11.095238,11.095238,1.5407726,16.190475,1.3502415,0.5358293
248,Houston Cougars,22.0,20,3,73.63636,13.227273,39.772728,14.727273,25.045454,43.21534037590027,12.545455,18.545454,47.91666567325592,414.0,864.0,34.959349036216736,7.818182,22.363636,67.64705777168274,12.545455,18.545454,5.090909,10.045455,8.818182,1.5,17.818182,1.1946902,0.49557522
305,DePaul Blue Demons,22.0,3,20,64.318184,12.454545,29.863636,7.090909,22.772728,42.12765991687775,13.181818,18.227272,46.51162922382355,360.0,774.0,33.66583585739136,6.1363635,18.227272,72.3192036151886,13.181818,18.227272,3.5454545,5.181818,13.5,0.9225589,15.909091,1.2042553,0.4787234
